id,url,title,price,price_m2_text,price_m2,rooms,square_m2,floor,floor_total,district,city,street,house_num,latitude,longitude,complex_id,complex_alias,complex_name,furniture,rent_renovation,priv_dorm,bathrooms_count,kitchen_studio,suited_for,full_description,photo_urls,photo_count,photo_set_hash,seller_type,owner_name,is_identity_confirmed,published_date,created_at,added_at,storage,scraped_at,is_installment_segment,finish_type,red_flags,premium_markers,extra_attributes,requires_manual_review,llm_skipped_error
1014417832,https://krisha.kz/a/show/1014417832,1-комнатная квартира · 45 м²,300000,за месяц,6667,1,45,18,,Esilyskiy_r-n,Astana,Moldagalieva,,51.126641046488,71.364073407706,,,,,,,,,,"Евродвушка 
• Коммунальные услуги отдельно 
• Депозит 
• Агентское сопровождение сделки-20% 
⚖️ Юридическое оформление и прозрачность гарантированы 
✨ Всё по закону, честно и с заботой о вас 💫",[],0,,,Жакупов Исламбек,False,2026-08-05,2026-07-31,2026-08-05,live,2026-08-11T07:10:08+00:00,False,,[],[],"{""communal_services"": ""отдельно"", ""deposit"": true, ""agent_fee"": ""20%"", ""legal_clarification"": true, ""transparent_deal"": true, ""legal_compliance"": true, ""furniture"": ""—"", ""repair"": ""—"", ""target_audience"": ""—""}",False,
1007730160,https://krisha.kz/a/show/1007730160,1-комнатная квартира · 38 м² · 5/10 этаж,300000,за месяц,7895,1,38,5,10,Nura_r-n,Astana,Anet_baba,,51.131696424423,71.381808676943,10054305,amsterdam,Amsterdam,полностью,,нет,,,,,[],0,,,Хозяин,False,2026-08-05,2025-12-05,2026-08-05,live,2026-08-11T07:10:08+00:00,False,,[],[],"{""мебель"": ""полностью""}",False,
1011437903,https://krisha.kz/a/show/1011437903,1-комнатная квартира · 45 м² · 3/12 этаж,200000,за месяц,4444,1,45,3,12,Esilyskiy_r-n,Astana,Turan,,51.11439,71.39376,,,,полностью,"свежий ремонт, новая мебель",,,,,"сдаются помесячно 1ком квартиры на левом берегу Нұра Есіл по Айтматова Омарова Туран Сыганак Төле би Бағланова возле ХШ Бәйтерек. 
квартиры укомплектованы всем необходимым. от эконом до комфорт до бизнес класса. 
от 200 и выше по уровню комфорта 
 
есть комиссиям агента. 
мы оказываем: 
+ поиск и подбор квартир по вашим требованиям. 
+ оперативность и лучшие варианты по вашему бюджету. 
+ мы экономим Вам время и деньги. 
+ граммотное составление договоров на аренду. 
+ постоянная консультационная поддержка клиента.

Дом ориентировочно находится возле Туран Орынбор Бағланова Бектұров Магнум гипермаркет Анвар",[],0,,,"Ахметов Тимур, компания «KVART-ALL.KZ»",False,2026-08-05,2026-04-17,2026-08-05,live,2026-08-11T07:10:08+00:00,False,чистовая,[],"[""свежий ремонт"", ""новая мебель""]","{""metro"": ""ХШ Бәйтерек"", ""pets"": ""не указано"", ""parking"": ""не указано"", ""view"": ""не указано"", ""balcony"": ""не указано"", ""security"": ""не указано""}",False,
1011155103,https://krisha.kz/a/show/1011155103,1-комнатная квартира · 40 м² · 3/12 этаж,200000,за месяц,5000,1,40,3,12,Esilyskiy_r-n,Astana,Syganak,,51.129287458647,71.372682037437,,,,полностью,"свежий ремонт, новая мебель",нет,,,,"сдаются помесячно укомплектованные 1ком квартиры в районах НҰРА и ЕСІЛ по Сыганак Айтматова Омарова, Мухамедханова Әйтеке би. 
полностью укомплектованы мебель и техника 
есть комиссия агента 
мы оказываем полный спектр услуг по аренде квартир;. от эконом, комфорт до бизнес класса 1ком от 180к и выше. 2ком евродвушки от 250 и выше. 
есть комиссиям агента. 
мы оказываем: 
+ поиск и подбор квартир по вашим требованиям. 
+ оперативность и лучшие варианты по вашему бюджету. 
+ мы экономим Вам время и деньги. 
+ граммотное составление договоров на аренду. 
+ постоянная консультационная поддержка клиента.

Дом ориентировочно находится возле Мечта Жағалау Култегин Сыганак Омарова",[],0,,,"Ахметов Тимур, компания «KVART-ALL.KZ»",False,2026-08-05,2026-04-08,2026-08-05,live,2026-08-11T07:10:08+00:00,False,чистовая,[],"[""свежий ремонт"", ""новая мебель""]","{""metro"": ""Мечта Жағалау Култегин Сыганак Омарова""}",False,
1006415750,https://krisha.kz/a/show/1006415750,1-комнатная квартира · 43 м² · 8/9 этаж,170000,за месяц,3953,1,43,8,9,Almaty_r-n,Astana,B__Momushuly,,51.140816,71.486071,8477550,zhastar,Жастар,полностью,"свежий ремонт, новая мебель",,,,,"Сдается двум работающим чистоплотным девушкам, ком услуг отдельно. депозит 50000тенге. Звонить с10.00 до 21.00.Риэлторов прошу не беспокоить! Сразу идёте блок! Студентам, семейным и мужчинам не беспокоить! Только работающим девушкам без детей!

Дом ориентировочно находится возле Жумабаева",[],0,,,Хозяин,False,2026-08-05,2025-10-20,2026-08-05,live,2026-08-11T07:10:08+00:00,False,чистовая,[],"[""свежий ремонт"", ""новая мебель""]","{""pets"": ""нет"", ""metro"": ""возле Жумабаева"", ""security"": ""нет""}",False,
1014353700,https://krisha.kz/a/show/1014353700,1-комнатная квартира · 43.1 м² · 2/9 этаж,250000,за месяц,5800,1,43.1,2,9,Esilyskiy_r-n,Astana,Syzganganova,,51.072099,71.422623,,,,полностью,"свежий ремонт, новая мебель",,,,,,[],0,,,Хозяин,False,2026-08-05,2026-07-29,2026-08-05,live,2026-08-06T06:44:29+00:00,False,чистовая,[],"[""свежий ремонт"", ""новая мебель""]","{""мебель"": ""полностью""}",False,
1014130468,https://krisha.kz/a/show/1014130468,1-комнатная квартира · 37 м² · 1/4 этаж,200000,за месяц,5405,1,37,1,4,Esilyskiy_r-n,Astana,E_496,,51.072509110172,71.426287377319,20113403,,,частично,,нет,,,,"Сдаем в аренду 1-комнатную квартиру! 
Удобное расположение!",[],0,,,Хозяин,False,2026-08-04,2026-07-21,2026-08-04,live,2026-08-11T07:10:08+00:00,False,,[],[],"{""мебель"": ""частично""}",False,
1014329984,https://krisha.kz/a/show/1014329984,1-комнатная квартира · 35 м² · 12/16 этаж,200000,за месяц,5714,1,35,12,16,Almaty_r-n,Astana,Zh__Nazhimedenova,,51.108733816191,71.535179717471,11925678,burabay,Burabay,полностью,"свежий ремонт, новая мебель",,,,,"Сдается 1-комнатная квартира ЖК Бурабай. 
Сдам только длительный срок. 
Есть депозит возвратный! 
 
Полностью меблировано, состояние новый. 
Напротив новый ЖД!

Дом ориентировочно находится возле А62",[],0,,,Хозяин,False,2026-08-04,2026-07-28,2026-08-04,live,2026-08-11T07:10:08+00:00,False,чистовая,[],"[""свежий ремонт"", ""новая мебель""]","{""pets"": ""не указано"", ""parking"": ""не указано"", ""view"": ""не указано"", ""metro"": ""не указано"", ""balcony"": ""не указано"", ""security"": ""не указано""}",False,
1011796694,https://krisha.kz/a/show/1011796694,1-комнатная квартира · 40 м²,350000,за месяц,8750,1,40,,,Nura_r-n,Astana,Turan,,51.107099886527,71.396269688327,21017173,,,полностью,"свежий ремонт, новая мебель",,,,,"сдается полноценная 1 комнатная квартира. имеется все необходимое для комфортного проживания. 
качественные смесители, дорогая мебель и техника. 
ком услуги отдельно+ возвратный депозит. 
 
прошу звонить только реальным арендующим",[],0,,,Хозяин,False,2026-08-03,2026-04-29,2026-08-03,live,2026-08-11T07:10:08+00:00,False,чистовая,[],"[""дорогая мебель"", ""новая мебель"", ""свежий ремонт""]","{""депозит"": ""возвратный""}",False,
687242353,https://krisha.kz/a/show/687242353,1-комнатная квартира · 42 м² · 6/12 этаж,280000,за месяц,6667,1,42,6,12,,Astana,Dostyk,,51.12883309826,71.43578290607,8477344,nursaja,Нурсая,полностью,"не новый, но аккуратный и чистый ремонт",,,,,"✅ Центр Левого берега, рядом Байтерек, Дом Министерств, Бульвар Нурлы Жол, ТРЦ Керуен, кафе, магазины, остановки, развитая инфраструктура 
 
✅Полностью меблирована, вся бытовая техника, интернет, чистая уютная квартира 
Удобно для проживания командировочных, ✅280.000+ ком услуги, есть возвратный депозит 
Возможно заселение посуточно, 14000- 15000 сутки в зависимости от количества суток, проживающих и дней недели 
В праздники, выходные дни цена может быть выше! 
🛑Риелторы, не беспокоить!в субаренду не сдаётся!

Дом ориентировочно находится возле Сарайшик, Байтерек",[],0,,,Хозяин,False,2026-08-01,2023-08-21,2026-08-01,live,2026-08-06T07:55:14+00:00,False,чистовая,[],[],"{""pets"": ""не указано"", ""parking"": ""не указано"", ""view"": ""не указано"", ""metro"": ""рядом Байтерек"", ""balcony"": ""не указано"", ""security"": ""не указано"", ""депозит"": ""есть возвратный депозит"", ""сдаётся_посуточно"": ""да"", ""цена_посуточно"": ""14000-15000 сутки"", ""цена_ком_услуги"": ""280000+"", ""риелторам"": ""не сдаётся""}",False,
